Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ../data/cifar100/cifar-100-python.tar.gz
Extracting ../data/cifar100/cifar-100-python.tar.gz to ../data/cifar100
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  66, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.013, TAw acc= 68.2% | lr=1.4e-04
| Epoch  67, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.012, TAw acc= 68.2% |
| Epoch  68, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.007, TAw acc= 68.4% |
| Epoch  69, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.013, TAw acc= 68.6% |
| Epoch  70, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.011, TAw acc= 68.5% |
| Epoch  71, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.013, TAw acc= 68.6% | lr=4.6e-05
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.625 | TAw acc= 29.6%, forg= 31.9%| TAg acc=  8.6%, forg= 52.9% <<<
>>> Test on task  1 : loss=2.089 | TAw acc= 36.2%, forg= 25.8%| TAg acc=  3.0%, forg= 30.3% <<<
>>> Test on task  2 : loss=1.060 | TAw acc= 66.9%, forg=  0.0%| TAg acc= 62.5%, forg=  0.0% <<<
Save at ../results/cifar100_finetuning
************************************************************************************************************
Task  3
************************************************************************************************************
| Epoch   1, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.993, TAw acc= 42.8% | *
| Epoch   2, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.564, TAw acc= 51.1% | *
| Epoch   3, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.474, TAw acc= 53.7% | *
| Epoch   4, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.619, TAw acc= 52.4% |
| Epoch   5, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.928, TAw acc= 49.6% |
| Epoch   6, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.912, TAw acc= 49.8% |
| Epoch   7, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.427, TAw acc= 56.1% | *
| Epoch   8, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.622, TAw acc= 52.3% |
| Epoch   9, time=  4.2s | Train: skip eval | Valid: time=  0.4s loss=1.440, TAw acc= 59.6% |
| Epoch  10, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.514, TAw acc= 58.7% |
| Epoch  11, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.362, TAw acc= 59.0% | *
| Epoch  12, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.255, TAw acc= 62.2% | *
| Epoch  13, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.263, TAw acc= 63.4% |
| Epoch  14, time=  4.1s | Train: skip eval | Valid: time=  0.4s loss=1.424, TAw acc= 59.4% |
| Epoch  15, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.166, TAw acc= 64.8% | *
| Epoch  16, time=  3.9s | Train: skip eval | Valid: time=  0.4s loss=1.210, TAw acc= 64.1% |
| Epoch  17, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.756, TAw acc= 54.8% |
| Epoch  18, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.256, TAw acc= 63.8% |
| Epoch  19, time=  4.0s | Train: skip eval | Valid: time=  0.4s loss=1.413, TAw acc= 61.6% |
